



Watchman  n. Man employed to look after an empty building etc. At night.
Marsh marigold  n. Golden-flowered plant.
Folly  n. (pl. -ies) 1 foolishness. 2 foolish act, behaviour, idea, etc. 3 fanciful ornamental building created for display. [french folie from fol mad, *fool1]
Hibernian  archaic poet. —adj. Of ireland. —n. Native of ireland. [latin hibernia ireland]

Jaguar  n. Large american flesh-eating spotted animal of the cat family. [tupi]


Puck2  n. Mischievous or evil sprite.  puckish adj. Puckishly adv. Puckishness n. [old english]
Sequester  v. 1 (esp. As sequestered adj.) Seclude, isolate. 2 = *sequestrate. [latin sequester trustee]
Deliver  v. 1 a distribute (letters, goods, etc.) To their destination(s). B (often foll. By to) hand over. 2 (often foll. By from) save, rescue, or set free. 3 a give birth to (delivered a girl). B assist at the birth of or in giving birth (delivered six babies). 4 utter (an opinion, speech, etc.). 5 (often foll. By up, over) abandon; resign (delivered his soul up). 6 launch or aim (a blow etc.).  be delivered of give birth to. Deliver the goods colloq. Carry out an undertaking. [latin liber free]


Insulate  v. (-ting) 1 prevent the passage of electricity, heat, or sound from (a thing, room, etc.) By interposing non-conductors. 2 isolate.  insulation n. Insulator n. [latin insula island]


Wire-haired  adj. (esp. Of a dog) with stiff or wiry hair.
Forecastle  n. (also fo'c's'le) forward part of a ship, formerly the living quarters.

Phoenix  n. Mythical bird, the only one of its kind, that burnt itself on a pyre and rose from the ashes to live again. [greek phoinix]
Unsymmetrical  adj. Not symmetrical.
Streaky  adj. (-ier, -iest) 1 full of streaks. 2 (of bacon) with streaks of fat.
Pram  n. Four-wheeled conveyance for a baby, pushed by a person on foot. [abbreviation of *perambulator]
Search  —v. 1 (also absol.) Look through or go over thoroughly to find something. 2 examine or feel over (a person) to find anything concealed. 3 probe (search one's conscience). 4 (foll. By for) look thoroughly in order to find. 5 (as searching adj.) (of an examination) thorough; keenly questioning (searching gaze). 6 (foll. By out) look for; seek out. —n. 1 act of searching. 2 investigation.  in search of trying to find. Search me! Colloq. I do not know.  searcher n. Searchingly adv. [anglo-french cerchier]
Praline  n. Sweet made by browning nuts in boiling sugar. [french]
Conjoin  v. Formal join, combine.

Rh  symb. Rhodium.
Unstinted  adj. Not stinted.


Pen3  n. Female swan. [origin unknown]

Cardoon  n. Thistle-like plant with leaves used as a vegetable. [french from latin]
Unearned  adj. Not earned.
Overlay  —v. (past and past part. -laid) 1 lay over. 2 (foll. By with) cover (a thing) with (a coating etc.). —n. Thing laid over another.

Ladder-back  n. Upright chair with a back resembling a ladder.
Moralist  n. 1 person who practises or teaches morality. 2 person who follows a natural system of ethics.  moralistic adj.
Pangolin  n. Scaly asian and african anteater. [malay]


Tantalum  n. Rare hard white metallic element.  tantalic adj. [related to *tantalize]
Carpet-sweeper  n. Household implement for sweeping carpets.

Resistance  n. 1 resisting; refusal to comply. 2 power of resisting. 3 ability to withstand disease. 4 impeding or stopping effect exerted by one thing on another. 5 physics property of hindering the conduction of electricity, heat, etc. 6 resistor. 7 secret organization resisting a régime, esp. In an occupied country.  resistant adj. [latin: related to *resist]

Retrench  v. 1 cut down expenses; introduce economies. 2 reduce the amount of (costs).  retrenchment n. [french: related to *trench]

High colour  n. Flushed complexion.



Estimable  adj. Worthy of esteem; admirable. [latin: related to *esteem]

Physician  n. Doctor, esp. A specialist in medical diagnosis and treatment.
Pare  v. (-ring) 1 a trim or shave by cutting away the surface or edge. B (often foll. By off, away) cut off (the surface or edge). 2 (often foll. By away, down) diminish little by little. [latin paro prepare]
