healthy food;tofu
bb eg;inn
peace time;truce
end of a race;election
villainous;mean
deads opposite;alive
last letter in leeds;zed
like with to;akin
incite;provoke
musicians in a pit;orchestra
prickly plant;thistle
the boy king;tut
a goingover;elision
food label abbr;cal
fielders aid;glove
dungeons  dragons figure;ogre
mimosafamily tree;acacia
what a murder suspect nee;alibi
lump of clay say;glob
oven;mitt
confederate;allied
what lines with stars at;pain
magazine number;issue
gay 90s eg;era
ruler bends as trainees added line touching curve;sultan
bowlers feat;spare
thorny eurasian shrub;sloe
second word of many fairy;upon
hair untangler;comb
yins opposite;yang
wine used to make zabagli;marsala
what an investor builds;portfolio
endearing;lovable
television portmanteau wo;sitcom
gift;wrap
shoplifters giveaway pe;bulge
oomph;gas
very unpleasant;obnoxious
biblical jawbone source;ass
farsighted;prescient
crows call;caw
general starting point;cadet
driveway type;asphalt
hillock;knoll
howler;coyote
rocky pinnacle;tor
weak;lame
bat makers tool;lathe
turn into a brat;spoil
greased;oiled
volcanic emission;lava
gift to an overworked sal;lull
its pitched;woo
place to litter;den
potted plant place;ledge
poetic palindrome;ere
melon exterior;rind
less than 1 mph as wi;calm
ceremonial act;rite
pester;hound
porch;portico
what a person whos out m;coma
complacency;ease
keep on file;store
clued in;aware
like some cheddar;sharp
harbors;has
shellfish picked up for contractor;muscle
sturdy building material;oak
vegetarians taboo;meat
mending aid;tape
put on notice;warn
chinese tree considered a;ginkgo
opposite of oer;neath
letters man read aloud;mail
put up as a picture;hang
tickle;amuse
leg part below the knee;shin
kind of notebook;spiral
crime boss;capo
one given away;bride
music section;passage
second person;eve
como for one;lake
used car transaction;resale
got milk;soy
crackerjack;whiz
affirm positively;aver
reason to use wipers;sleet
bakers dozen say;batch
bit of parsley;sprig
early do for michael jack;afro
menonly affair;stag
of the brain;cerebral
process of learning something gradually and without effort;osmosis
something from previous times old volume used in support of fashion;hangover
last sign;pisces
guide people over hill;mentor
past time;yore
equate in a way;liken
exit location often;rear
plant also called ladys;okra
resting place;bier
show a diaper needs changing after letting one go;parade
invader of 1066;norman
state secrets;blab
alcove;recess
barely run 22s;streak
it takes a bow at a recit;viol
speak in a monotone;drone
disentangle;untie
sigh with relief say;exhale
item on a lab slide;amoeba
usually deleted email;spam
brake part;caliper
predatory fish;eel
kind of butterfly;social
peter or paul but not ma;tsar
uproots;weeds
bird dropped like a stone over the pond;dove
golf ball feature;dimple
a sample of the globes exhibition stout;obese
typewriter sound;clack
vacationing;off
casablanca wear;fez
win to pick up having lost lead;earn
masked;hid
confidential;private
paul bunyans ox;babe
clothes dryer;air
mesoamerican plant;agave
lake;trout
russian orthodox language;slavonic
flying off the shelves;hot
most of a tooth;dentine
hopper;rabbit
wire;message
flower lit up rocks;tulip
miles off;afar
craving;need
above all others;supreme
computer output;data
person whos combining;reaper
fool clown;buffoon
mature tadpole of a sort;eft
fancy;dressy
